bluewaters,25.079562,55.122020
bukadra,25.177417,55.326453
bur dubai,25.214114,55.303459
burj khalifa,25.197712,55.274258
burj nahar,,
business bay,25.182057,55.275253
business park,,
california residence,25.077540,55.324063
cherrywoods,25.016918,55.292610
city of arabia,25.087163,55.325915
city walk,25.209215,55.260353
cornich deira,25.286972,55.317354
damac hills,25.022637,55.255931
discovery gardens,25.038628,55.145321
dmcc-ez2,,
down town jabal ali,24.946262,55.064505
dubai creek harbour,25.198120,55.359270
dubai design district,25.185727,55.304209
dubai golf city,25.010794,55.234642
dubai harbour,25.093203,55.142022
dubai healthcare city - phase 1,25.232623, 55.324118
dubai healthcare city - phase 2,25.232895,55.322465
dubai hills,25.115305,55.268669
dubai industrial city,24.842304,55.077637
dubai international academic city,25.110543,55.408188
dubai international airport,25.253019,55.365233
dubai investment park first,24.978574,55.166151
dubai investment park second,24.978042,55.199325
dubai land residence complex,25.091000,55.383596
dubai lifestyle city,25.042448,55.282903
dubai marina,25.083423,55.143089
dubai maritime city,25.268854,55.265882
dubai outsource city,25.124273,55.425647
dubai parks,,
dubai production city,25.032688,55.191917
dubai science park,25.074567,55.239902
dubai south,24.894404,55.138316
dubai sports city,25.036561,55.216770
dubai studio city,25.035652,55.243973
dubai water canal,25.190382,55.242242
dubai water front,24.946605,54.905753
emaar south,24.861775,55.147012
emirate living,25.088694,55.173372
esalal,,
eyal nasser,25.272481,55.304205
falcon city of wonders,25.096810,55.345098
festival city first,25.217432,55.359131
garden view,,
global village,,
grand hills dubai,,
grand views,,
grayteesah,,
hadaeq sheikh mohammed bin rashid,25.192795,55.278874
hatta,24.803566,56.129213
hessyan first,,
hessyan second,,
hor al anz,25.276908,55.337429
hor al anz east,25.285533,55.353205
horizon,,
ibn battuta,25.043381,55.120973
international city ph 1,25.165096,55.412636
international city ph 2 & 3,25.143651,55.405198
island 2,,
jabal ali,24.972462, 55.077491
jabal ali first,24.973396,55.080925
jabal ali industrial first,24.995906,55.119123
jabal ali industrial second,24.992123,55.127405
jabal ali industrial third,24.989625,55.141825
jabal ali staff accommodation,24.982567,55.141199
jabal ali third,25.029921,55.094826
jabal ali village,25.034537,55.129360
jabel ali hills,24.903261,54.971291
jaddaf waterfront,25.225984,55.337394
jumeira bay,25.216265,55.236089
jumeirah,25.206017,55.245831
jumeirah beach residence,25.077844,55.135124
jumeirah first,25.225086,55.260455
jumeirah golf,25.020147,55.200784
jumeirah heights,25.065658,55.145370
jumeirah islands,25.057301,55.156707
jumeirah lakes towers,25.074890,55.144597
jumeirah living,,
jumeirah park,25.045792,55.155981
jumeirah second,25.202078,55.241199
jumeirah third,25.164362,55.209183
jumeirah village circle,25.057988,55.209709
jumeirah village triangle,25.045061,55.187974
la mer,25.230356,55.258961
layan,25.026568,55.282451
lehbab,25.051443,55.589487
lehbab first,25.057074, 55.589922
lehbab second,25.048800,55.588285
le hemaira,,
living legends,25.085793,55.303137
liwan 2,,
liwan,25.110646, 55.369479
madinat al mataar,,
madinat dubai almelaheyah,,
madinat hind 1,25.068643,55.386112
madinat hind 2,25.057927,55.335507
madinat hind 3,25.029992,55.422782
madinat hind 4,25.017425,55.372666
madinat jumeirah,25.133011,55.183541
majan,25.092196,55.316709
mankhool,,
margham,24.901847,55.621719
marsa al arab,25.143657,55.189859
marsa dubai,25.083112,55.140858
mbr district 1,,
mbr district 7,,
me'aisem first,25.039406,55.196970
me'aisem second,,
medyan grandstand,25.159573,55.302973
medyan race course villas,25.157291,55.301836
mena jabal ali,24.989486,55.063830
meydan avenue,,
meydan heights,25.142570,55.315212
meydan one,,
millennium,,
mina rashid,25.272938,55.283782
mira,,
mirdif,25.224254,55.422596
motor city,25.046014,55.239923
muashrah al bahraana,,
mudon,25.017089,55.269496
mugatrah,,
muhaisanah first,25.245630,55.417681
muhaisanah fourth,25.279463,55.408567
muhaisanah second,25.264616,55.424111
muhaisanah third,25.272159,55.404153
muhaisna,25.259997,55.421376
muragab,,
mushrif,25.204997,55.452955
nad al hamar,25.197833,55.387466
nad al sheba gardens,25.136252,55.312421
nad al shiba,25.149144,55.347169
nad al shiba first,25.165245,55.310583
nad al shiba fourth,25.137364,55.363582
nad al shiba second,25.158822,55.349687
nad al shiba third,25.154774,55.376914
nadd hessa,,
nad rashid,,
nad shamma,25.216136,55.385499
naif,25.272942,55.311940
naif north,25.273890,55.306750
naif south,25.270721, 55.312884
nazwah,,
nuzul,25.002151,55.104890
oud al muteena first,25.263996,55.453292
oud al muteena second,25.263651,55.464619
oud metha,25.238418,55.312643
palmarosa,25.044095,55.278805
palm deira,25.314380,55.310154
palm jabal ali,25.009649,54.987208
palm jumeirah,25.119129,55.133031
pearl jumeira,25.244201,55.259010
polo townhouses igo,25.142639,55.294572
port saeed,25.250485,55.331202
ras al khor,25.196230,55.350174
ras al khor industrial first,25.177185,55.338897
ras al khor industrial second,25.177796,55.359478
ras al khor industrial third,25.174333,55.382861
rega al buteen,,
remah,,
remraam,25.002036,55.249905
rukan,25.042053,55.288162
saih aldahal,24.758646,55.366026
saih shuaib 1,,
saih shuaib 2,,
saih shuaib 3,,
saih shuaib 4,,
sama al jadaf,,
serena,,
shandagha east,25.271081,55.292858
shandagha west,25.262602,55.284833
sikkat al khail north,,
sikkat al khail south,,
silicon oasis,25.122791,55.387405
sobha heartland,,
sufouh gardens,25.110301,55.178054
sustainable city,25.029865,55.278949
tawaa al sayegh,,
tawi al muraqqab,25.264643,55.323318
tecom site a,,
tecom site d,,
the beach,25.075302,55.131230
the echo plex city,,
the field,25.121681,55.343055
the gardens,25.043342,55.128354
the greens,25.092412,55.171638
the lakes,25.080157,55.169692
the valley,,
the villa,25.086389,55.360770
the world,25.221134,55.172888
tijara town,,
tilal al ghaf,25.026112,55.229959
town square,,
trade center first,25.220539,55.279575
trade center second,25.222112,55.286604
um al sheif,25.131733,55.205175
um esalay,,
um hurair first,25.252936,55.312986
um hurair second,25.237055,55.324130
umm addamin,,
um nahad first,,
um nahad fourth,,
um nahad second,,
um nahad third,25.039888,55.418647
um ramool,25.230107,55.369150
um suqaim,25.153550,55.207958
um suqaim first,25.165900,55.217392
um suqaim second,25.151697,55.205663
um suqaim third,25.138313,55.195074
villanova,25.075826,55.360599
wadi al amardi,25.198726,55.491129
wadi al safa 2,,
wadi al safa 3,25.105805,55.320312
wadi al safa 4,,
wadi al safa 5,25.093705,55.382043
wadi al safa 6,,
wadi al safa 7,,
wadi alshabak,25.171738,55.486569
warsan first,25.154228,55.416790
warsan fourth,25.147667,55.400738
warsan second,25.158850,55.437299
warsan third,25.154331,55.461774
world islands,25.228123,55.168711
zaabeel first,25.223981,55.307033
zaabeel second,25.209506,55.294341
zareeba duviya,,
